,date,up,keep,down,predindex,hs300
239,2014-08-08 00:00:00,2997,3128,3179,-0.029468911917098446,2331.13
240,2014-08-15 00:00:00,3174,3491,3499,-0.04870373145511764,2360.64
241,2014-08-22 00:00:00,3873,4618,4516,-0.07664799141733222,2365.36
242,2014-08-29 00:00:00,4798,6351,6113,-0.12052057556594263,2338.29
243,2014-09-05 00:00:00,4981,6615,6514,-0.13336233144845586,2449.26
244,2014-09-12 00:00:00,4415,6037,5782,-0.13405903697165833,2438.36
245,2014-09-19 00:00:00,3551,5038,4610,-0.12976350937385125,2425.21
246,2014-09-26 00:00:00,2221,2968,2496,-0.058299766800932795,2437.2
247,2014-10-03 00:00:00,1257,1911,1257,0.0,2478.38
248,2014-10-10 00:00:00,1102,1654,1052,0.02321262766945218,2466.79
249,2014-10-17 00:00:00,1456,1971,1330,0.04522613065326633,2441.73
250,2014-10-24 00:00:00,1990,2889,2300,-0.07226107226107226,2390.71
251,2014-10-31 00:00:00,3683,6372,5604,-0.2068482825454937,2508.32
252,2014-11-07 00:00:00,4451,7158,6642,-0.19751194446948525,2502.15
253,2014-11-14 00:00:00,4228,6741,6470,-0.20957188259487755,2581.09
254,2014-11-21 00:00:00,3916,6122,5892,-0.20146818923327894,2583.46
255,2014-11-28 00:00:00,2625,3004,3192,-0.09747292418772563,2808.82
256,2014-12-05 00:00:00,2084,2132,2226,-0.032946635730858466,3124.89
257,2014-12-12 00:00:00,2544,2333,2660,-0.022290545734050732,3193.23
258,2014-12-19 00:00:00,2701,2543,2926,-0.03998578283277057,3383.17
259,2014-12-26 00:00:00,2798,2776,3045,-0.04227280506589081,3445.84
260,2015-01-02 00:00:00,2655,2620,2774,-0.021919322158776938,3641.54
261,2015-01-09 00:00:00,2171,2436,2285,-0.025583482944344704,3546.72
262,2015-01-16 00:00:00,2314,2414,2514,-0.041425020712510356,3635.15
263,2015-01-23 00:00:00,2379,2385,2508,-0.026396562308164517,3571.73
264,2015-01-30 00:00:00,2481,2337,2721,-0.0461361014994233,3434.39
265,2015-02-06 00:00:00,2736,2453,3194,-0.07723440134907252,3312.42
266,2015-02-13 00:00:00,2530,2239,3116,-0.10379029401346086,3469.83
267,2015-02-20 00:00:00,2286,1945,2853,-0.11033274956217162,3478.73
268,2015-02-27 00:00:00,1871,1521,2419,-0.12773892773892773,3572.84
269,2015-03-06 00:00:00,2263,1724,3102,-0.15638397017707362,3478.52
270,2015-03-13 00:00:00,2425,1724,3337,-0.15827837556404026,3617.66
271,2015-03-20 00:00:00,2924,2023,3870,-0.13924050632911392,3892.57
272,2015-03-27 00:00:00,3806,2551,5018,-0.1373526745240254,3971.697
273,2015-04-03 00:00:00,3959,2468,5059,-0.12197826569084054,4170.54
274,2015-04-10 00:00:00,3919,2536,4863,-0.10749259849692552,4344.42
275,2015-04-17 00:00:00,3884,2766,4752,-0.10050949513663733,4596.14
276,2015-04-24 00:00:00,3880,3394,4586,-0.08339239310181903,4702.64
277,2015-05-01 00:00:00,4137,5494,4606,-0.053642914331465175,4787.74
278,2015-05-08 00:00:00,4394,5671,4913,-0.05576447834962931,4558.4
279,2015-05-15 00:00:00,3968,5511,4406,-0.052304752806305234,4617.47
280,2015-05-22 00:00:00,3475,4932,3786,-0.042831565900013774,4951.33
281,2015-05-29 00:00:00,2475,3157,2615,-0.0275049115913556,4840.83
282,2015-06-05 00:00:00,2174,2833,2055,0.028139039962165997,5230.55
283,2015-06-12 00:00:00,2148,2788,1899,0.061527057079318014,5335.12
284,2015-06-19 00:00:00,2238,2818,1914,0.07803468208092486,4637.05
285,2015-06-26 00:00:00,2222,2552,1991,0.05483028720626632,4336.19
286,2015-07-03 00:00:00,2168,2376,1928,0.05859375,3885.92
287,2015-07-10 00:00:00,2198,2104,2271,-0.01633475050346834,4106.56
288,2015-07-17 00:00:00,2582,2537,3117,-0.09387611861730127,4151.5
289,2015-07-24 00:00:00,2823,2763,3305,-0.07865535248041776,4176.28
290,2015-07-31 00:00:00,2838,2795,3465,-0.09947643979057591,3816.7
291,2015-08-07 00:00:00,3156,3178,3658,-0.07367185206926916,3906.95
292,2015-08-14 00:00:00,3036,3010,3315,-0.043930089749645726,4073.54
